행정기관코드,행정기관,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,여 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
0000000000,전국  ,"51,226,757","51,226,757","3,152,382","4,620,995","5,977,972","6,617,161","7,746,514","8,711,340","7,797,848","4,163,830","2,104,312","325,840","8,563","25,504,176","25,504,176","1,615,168","2,374,945","3,113,094","3,453,224","3,937,417","4,394,451","3,840,388","1,920,090","777,717","76,156","1,526","25,722,581","25,722,581","1,537,214","2,246,050","2,864,878","3,163,937","3,809,097","4,316,889","3,957,460","2,243,740","1,326,595","249,684","7,037"
1100000000,서울특별시  ,"9,335,495","9,335,495","485,522","721,716","1,312,745","1,440,604","1,387,689","1,487,634","1,324,449","770,079","354,527","49,049","1,481","4,507,664","4,507,664","248,988","369,160","618,386","721,116","685,509","731,718","626,930","348,091","144,068","13,368",330,"4,827,831","4,827,831","236,534","352,556","694,359","719,488","702,180","755,916","697,519","421,988","210,459","35,681","1,151"
2600000000,부산광역시  ,"3,268,993","3,268,993","182,582","262,868","360,204","389,201","472,514","538,095","561,009","334,969","148,316","18,811",424,"1,591,231","1,591,231","93,471","134,871","184,295","200,848","238,737","263,430","263,389","151,321","56,426","4,381",62,"1,677,762","1,677,762","89,111","127,997","175,909","188,353","233,777","274,665","297,620","183,648","91,890","14,430",362
2700000000,대구광역시  ,"2,364,334","2,364,334","142,666","212,469","269,337","282,451","345,750","418,634","374,562","204,075","100,397","13,735",258,"1,160,074","1,160,074","73,254","109,354","141,486","150,828","171,511","204,380","178,920","90,481","36,544","3,280",36,"1,204,260","1,204,260","69,412","103,115","127,851","131,623","174,239","214,254","195,642","113,594","63,853","10,455",222
2800000000,인천광역시  ,"3,018,589","3,018,589","195,612","272,300","352,523","420,990","476,421","516,797","457,907","211,156","98,288","16,095",500,"1,508,189","1,508,189","100,217","139,625","182,203","219,908","244,928","257,576","225,954","98,221","35,966","3,495",96,"1,510,400","1,510,400","95,395","132,675","170,320","201,082","231,493","259,221","231,953","112,935","62,322","12,600",404
2900000000,광주광역시  ,"1,409,624","1,409,624","93,332","145,604","182,855","173,865","220,333","243,076","190,119","102,974","49,754","7,527",185,"695,854","695,854","47,655","75,059","95,396","90,170","109,993","120,272","91,091","45,654","18,768","1,771",25,"713,770","713,770","45,677","70,545","87,459","83,695","110,340","122,804","99,028","57,320","30,986","5,756",160
3000000000,대전광역시  ,"1,439,687","1,439,687","91,881","135,669","194,362","190,543","214,041","243,891","205,803","105,267","50,298","7,722",210,"717,664","717,664","47,304","69,875","101,459","101,175","107,012","121,602","99,804","48,445","19,032","1,919",37,"722,023","722,023","44,577","65,794","92,903","89,368","107,029","122,289","105,999","56,822","31,266","5,803",173
3100000000,울산광역시  ,"1,098,312","1,098,312","73,508","109,250","117,561","136,308","173,784","203,178","174,658","76,755","29,226","4,001",83,"564,865","564,865","37,703","56,751","67,353","74,595","89,746","101,859","88,114","37,209","10,702",824,9,"533,447","533,447","35,805","52,499","50,208","61,713","84,038","101,319","86,544","39,546","18,524","3,177",74
3600000000,세종특별자치시  ,"390,603","390,603","41,493","52,444","37,239","58,865","77,285","56,909","38,621","17,651","8,413","1,642",41,"194,407","194,407","21,084","26,515","18,981","29,019","38,002","29,689","19,255","8,435","3,078",345,4,"196,196","196,196","20,409","25,929","18,258","29,846","39,283","27,220","19,366","9,216","5,335","1,297",37
4100000000,경기도  ,"13,690,645","13,690,645","943,133","1,318,891","1,632,308","1,903,792","2,220,657","2,357,537","1,903,243","899,696","440,179","69,263","1,946","6,880,565","6,880,565","482,736","674,362","855,710","995,385","1,132,737","1,187,244","949,610","418,091","167,065","17,190",435,"6,810,080","6,810,080","460,397","644,529","776,598","908,407","1,087,920","1,170,293","953,633","481,605","273,114","52,073","1,511"
